texto,categoria,criterio,formato
Muéstrame un reporte de reglas de negocio aprobados en docx,politicas,completados,word
DAME LOS EMPLEADO TODOS EN FORMATO XLSX,usuarios,todos,excel
Generar un reporte de archivo todas en formato pdf,documentos,todos,pdf
Dame los empleado todas en formato formato pdf,usuarios,todos,pdf
Dame los usuario en formato documento pdf,usuarios,todos,pdf
EN EN PANTALLA QUIERO EL REPORTE DE FLUJOS DE TRABAJO ACTIVO,tramites,pendientes,pantalla
Exportar a word los funcionario completo!,usuarios,todos,word
Obtener reporte de funcionario en pantalla,usuarios,todos,pantalla
Quisiera ver la lista de ciudadanos atrasados y bajarla en word,clientes,atrasados,word
Hazme un reporte de papeles finalizado en word,documentos,completados,word
Reporte cliente ver,clientes,todos,pantalla
Reporte política de negocio en proceso en pdf,politicas,pendientes,pdf
Muéstrame un reporte de archivo con retraso en formato word,documentos,atrasados,word
¿cómo puedo ver el reporte de solicitantes en curso en formato word?.,clientes,pendientes,word
descargar en documento pdf el reporte de archivo pendiente,documentos,pendientes,pdf
muéstrame un reporte de reglas finalizado en archivo pdf,politicas,completados,pdf
Quiero un reporte de procesos en formato portable.,tramites,todos,pdf
Exportar a pdf los políticas terminados,politicas,completados,pdf
Lista archivos formato excel,documentos,todos,excel
Generar un reporte de cliente en archivo pdf,clientes,todos,pdf
Necesito el reporte de empleado en documento editable,usuarios,todos,word
Generar un reporte de solicitante aprobado en en word,clientes,completados,word
¿cómo puedo ver el reporte de funcionario demorado en documento editable?,usuarios,atrasados,word
podrías generarme un reporte de políticas de negocio en proceso en en pdf,politicas,pendientes,pdf
Obtener reporte de funcionario en en pantalla,usuarios,todos,pantalla
Obtener reporte de casos resuelto en documento pdf,tramites,completados,pdf
Generar un reporte de ciudadanos general en formato portable.,clientes,todos,pdf
Quiero exportar en archivo word las política de negocio con retraso,politicas,atrasados,word
generar un reporte de diagramas de actividad en hoja excel,politicas,todos,excel
Necesito el reporte de políticas en archivo word,politicas,todos,word
necesito exportar a xlsx el listado de usuarios finales cualquiera,clientes,todos,excel
Descargar en en pantalla el reporte de flujos de trabajo con retraso.,tramites,atrasados,pantalla
Necesito el reporte de operador en progreso en en word,usuarios,pendientes,word
listado trámite con demora formato pdf,tramites,atrasados,pdf
Exportar a xlsx los casos resueltos,tramites,completados,excel
en json quiero el reporte de adjuntos atrasados,documentos,atrasados,pantalla
SÁCAME UN REPORTE DE SOLICITANTE FUERA DE PLAZO EN FORMATO PORTABLE,clientes,atrasados,pdf
reporte fichero archivo pdf,documentos,todos,pdf
Descargar reporte de solicitudes en hoja de cálculo,tramites,todos,excel
Quiero un reporte de usuarios activo en en word,usuarios,pendientes,word
Quiero exportar en archivo pdf las personas en curso,clientes,pendientes,pdf
Reporte política de negocio ver,politicas,todos,pantalla
Muéstrame un reporte de política de negocio en progreso en en pantalla,politicas,pendientes,pantalla
Dame los requisitos en formato documento word,documentos,todos,word
Lista archivos en progreso pdf,documentos,pendientes,pdf
Crear reporte de casos en formato pdf,tramites,todos,pdf
quiero exportar en mostrar las cliente lista completa.,clientes,todos,pantalla
En formato excel dame los funcionario general,usuarios,todos,excel
Necesito el reporte de operadores global en hoja excel,usuarios,todos,excel
Necesito exportar a pdf el listado de diagramas vencido,politicas,atrasados,pdf
Datos reglas de negocio vencido en excel,politicas,atrasados,excel
crear reporte de peticiones en visualizar,tramites,todos,pantalla
En formato pantalla dame los fichero sin filtros,documentos,todos,pantalla
En formato word quiero el reporte de casos hechos,tramites,completados,word
HAZME UN REPORTE DE PERSONAL CON DEMORA EN VER,usuarios,atrasados,pantalla
Datos archivos pendientes en excel,documentos,pendientes,excel
Muéstrame un reporte de trámites en excel,tramites,todos,excel
Quiero un reporte de usuarios finales en en excel.,clientes,todos,excel
DAME LOS POLÍTICAS DE NEGOCIO FINALIZADOS EN FORMATO XLSX,politicas,completados,excel
Quiero un reporte de políticas en word,politicas,todos,word
Datos reglas pendientes visualizar,politicas,pendientes,pantalla
Lista diagramas demorados word,politicas,atrasados,word
Listado flujos de trabajo con demora formato portable,tramites,atrasados,pdf
Descargar reporte de diagramas en formato excel,politicas,todos,excel
Crear reporte de documentos vencido en formato portable,documentos,atrasados,pdf
Generar un reporte de solicitudes hechos en docx,tramites,completados,word
¿es posible obtener los usuario hechos en en pdf?,usuarios,completados,pdf
Necesito el reporte de papeles aprobado en documento editable,documentos,completados,word
Datos diagramas de actividad completados formato json!,politicas,completados,pantalla
Quiero un reporte de políticas finalizados en documento word,politicas,completados,word
¿cómo puedo ver el reporte de políticas total en formato excel?.,politicas,todos,excel
Datos ficheros finalizado formato json.,documentos,completados,pantalla
Crear reporte de adjuntos en vista previa,documentos,todos,pantalla
POR FAVOR GENERA UN REPORTE DE USUARIO RESUELTOS EN FORMATO EXCEL,usuarios,completados,excel
Obtener reporte de trámites con demora en documento editable,tramites,atrasados,word
Descargar en docx el reporte de funcionario con retraso,usuarios,atrasados,word
Lista empleados excel,usuarios,todos,excel
¿es posible obtener los archivos completado en hoja de cálculo?.,documentos,completados,excel
Generar un reporte de trámites en consola,tramites,todos,pantalla
reporte solicitantes formato word,clientes,todos,word
Muéstrame un reporte de flujos de trabajo en formato portable,tramites,todos,pdf
¿CÓMO PUEDO VER EL REPORTE DE FUNCIONARIOS HECHOS EN EN PANTALLA?,usuarios,completados,pantalla
Por favor genera un reporte de ciudadanos sin terminar en archivo word,clientes,pendientes,word
Quiero un reporte de diagramas en archivo word,politicas,todos,word
Necesito el reporte de peticiones en en excel,tramites,todos,excel
lista solicitudes en pdf,tramites,todos,pdf
Obtener reporte de reglas vencido en pantalla,politicas,atrasados,pantalla
Hazme un reporte de flujos de trabajo procesando en hoja de cálculo,tramites,pendientes,excel
Crear reporte de empleado en pantalla,usuarios,todos,pantalla
Quiero un reporte de reglas atrasado en en pdf,politicas,atrasados,pdf
En formato mostrar dame los solicitante cualquiera,clientes,todos,pantalla
GENERAR UN REPORTE DE CIUDADANOS EN PROGRESO EN DOCX,clientes,pendientes,word
Necesito el reporte de cliente en documento pdf,clientes,todos,pdf
Generar un reporte de cliente aprobados en archivo excel,clientes,completados,excel
sácame un reporte de clientes resuelto en documento pdf,clientes,completados,pdf
Necesito exportar a visualizar el listado de políticas resueltos,politicas,completados,pantalla
Obtener reporte de reglas en pdf,politicas,todos,pdf
Datos funcionarios completados formato word.,usuarios,completados,word
Quiero un reporte de personas activo en formato portable,clientes,pendientes,pdf
reporte empleados terminados hoja excel,usuarios,completados,excel
Necesito exportar a documento editable el listado de archivos total,documentos,todos,word
Quiero un reporte de peticiones en hoja excel,tramites,todos,excel
En pdf quiero el reporte de ficheros completado,documentos,completados,pdf
Podrías generarme un reporte de diagramas de actividad en proceso en json,politicas,pendientes,pantalla
Quisiera ver la lista de clientes resueltos y bajarla en formato portable,clientes,completados,pdf
Generar un reporte de usuario en formato word,usuarios,todos,word
GENERAR UN REPORTE DE FICHERO RESUELTOS EN EXCEL.,documentos,completados,excel
descargar en documento word el reporte de trámite total.,tramites,todos,word
Por favor genera un reporte de políticas pendiente en archivo pdf,politicas,pendientes,pdf
Muéstrame un reporte de ficheros fuera de plazo en en excel,documentos,atrasados,excel
Dame los usuario terminados en formato hoja excel.,usuarios,completados,excel
Generar un reporte de usuario en mostrar,usuarios,todos,pantalla
muéstrame un reporte de ficheros atrasado en pantalla!,documentos,atrasados,pantalla
Podrías generarme un reporte de clientes en curso en en pdf,clientes,pendientes,pdf
quiero exportar en formato json las solicitante todas,clientes,todos,pantalla
Obtener reporte de reglas de negocio aprobados en word,politicas,completados,word
Descargar en en excel el reporte de personal pendientes,usuarios,pendientes,excel
Necesito el reporte de personas demorado en ver,clientes,atrasados,pantalla
Necesito el reporte de solicitudes aprobado en pantalla,tramites,completados,pantalla
PODRÍAS GENERARME UN REPORTE DE ARCHIVO TODAS EN EXCEL,documentos,todos,excel
Descargar reporte de archivos pendientes en en pdf,documentos,pendientes,pdf
Muéstrame un reporte de solicitudes con demora en mostrar,tramites,atrasados,pantalla
Por favor genera un reporte de personas resuelto en archivo pdf!,clientes,completados,pdf
Quiero un reporte de documento en formato pdf,documentos,todos,pdf
en en excel quiero el reporte de políticas con demora.,politicas,atrasados,excel
Por favor genera un reporte de requisitos vencido en formato word,documentos,atrasados,word
DATOS PAPELES CON DEMORA EXCEL,documentos,atrasados,excel
Exportar a documento editable los política vencido,politicas,atrasados,word
Sácame un reporte de cliente todos en excel,clientes,todos,excel
EN FORMATO ARCHIVO PDF DAME LOS PERSONAS ATRASADOS,clientes,atrasados,pdf
¿cómo puedo ver el reporte de requisitos general en formato word?,documentos,todos,word
descargar reporte de cliente en vista previa,clientes,todos,pantalla
Descargar en formato word el reporte de archivos sin filtros,documentos,todos,word
Muéstrame un reporte de política de negocio en documento editable,politicas,todos,word
Exportar a en excel los política,politicas,todos,excel
Necesito el reporte de funcionario en en pantalla,usuarios,todos,pantalla
crear reporte de políticas de negocio en vista previa,politicas,todos,pantalla
Generar un reporte de trámite todas en formato json,tramites,todos,pantalla
Muéstrame un reporte de papeles en formato pdf.,documentos,todos,pdf
Sácame un reporte de ciudadanos global en xlsx.,clientes,todos,excel
Necesito el reporte de solicitudes en documento word,tramites,todos,word
Sácame un reporte de documentos tardíos en formato word,documentos,atrasados,word
exportar a archivo excel los personal completado,usuarios,completados,excel
Crear reporte de reglas en hoja de cálculo.,politicas,todos,excel
Obtener reporte de personal en visualizar,usuarios,todos,pantalla
Obtener reporte de política aprobado en pdf,politicas,completados,pdf
Exportar a formato pdf los archivos aprobado,documentos,completados,pdf
Quiero un reporte de reglas en curso en vista previa,politicas,pendientes,pantalla
Descargar reporte de reglas en en pantalla,politicas,todos,pantalla
Obtener reporte de funcionarios en docx,usuarios,todos,word
En formato hoja de cálculo dame los funcionarios cualquiera,usuarios,todos,excel
Por favor genera un reporte de documento pendientes en hoja de cálculo,documentos,pendientes,excel
En archivo excel quiero el reporte de empleado aprobado.,usuarios,completados,excel
Reporte solicitantes pantalla,clientes,todos,pantalla
necesito el reporte de empleado pendiente en vista previa,usuarios,pendientes,pantalla
